Feature ID	score	A	B	T	idQM	idQA	idQB	idAB	idQT	LY	LN	LA	RY	RN	RA	div	YN
221946;size=1	0.1756	100320;size=13	1109016;size=31	1109016;size=31	99.6	96.2	98.3	95.4	98.3	3	0	0	8	0	1	1.3	N
221953;size=1	0.024	4390905;size=6	205999;size=4	205999;size=4	92.5	86.6	92.1	87.4	92.1	1	0	0	21	7	11	0.4	N
222011;size=1	0.6052	226395;size=7	579647;size=36	579647;size=36	90.9	80.2	82.3	69.5	82.3	33	12	9	26	0	1	8.6	Y
222180;size=1	0.0425	1086621;size=3	592414;size=11	1086621;size=3	89.4	87.8	86.1	84.5	87.8	15	7	16	5	1	2	1.6	N
222336;size=1	0.7031	214259;size=2	284815;size=14	214259;size=2	93.8	88.5	71.6	65.8	88.5	56	2	3	16	3	7	5.3	Y
222449;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2224540;size=1	0.019	817091;size=2	104669;size=2	104669;size=2	91.8	90.5	90.9	95.7	90.9	2	0	1	5	2	16	0.9	N
22253;size=1	0.0394	1137597;size=3	262663;size=2	1137597;size=3	88.1	87.7	76.6	76.6	87.7	36	8	20	2	1	0	0.4	N
222559;size=1	0.064	860839;size=4	224072;size=2	224072;size=2	92.3	89.8	90.6	92.3	90.6	4	0	0	9	3	15	1.7	N
222621;size=1	0.0418	4320239;size=51	1106111;size=7	4320239;size=51	92.0	89.9	89.5	88.6	89.9	13	7	4	6	1	7	2.1	N
222640;size=1	0.0431	961607;size=8	4105145;size=4	961607;size=8	90.3	88.3	88.3	83.9	88.3	6	1	1	17	12	10	2.0	N
222645;size=1	0.31	773596;size=2	1690158;size=2	773596;size=2	92.8	90.7	78.5	81.4	90.7	36	2	11	5	0	4	2.1	Y
222685;size=1	0.05	524058;size=2	204335;size=2	204335;size=2	96.2	94.1	95.0	93.3	95.0	3	0	0	9	4	5	1.3	N
2228102;size=1	0.06	36010;size=3	668801;size=5	36010;size=3	92.1	91.3	81.7	77.2	91.3	36	11	8	2	0	0	0.8	N
222885;size=1	0.0579	835293;size=18	1111657;size=3	835293;size=18	89.8	87.3	85.2	82.8	87.3	14	3	5	14	8	9	2.5	N
223139;size=1	3.2275	4399405;size=12	1061084;size=10	1061084;size=10	99.6	79.0	95.8	75.6	95.8	9	0	0	49	0	1	3.8	Y
223145;size=1	0.1817	224590;size=9	565567;size=8	224590;size=9	94.0	91.9	88.9	91.0	91.9	12	0	6	5	0	8	2.1	N
223226;size=1	0.0437	566526;size=3	285320;size=7	566526;size=3	83.9	81.0	80.6	80.2	81.0	11	3	2	16	9	25	2.9	N
223237;size=1	0.0934	331288;size=3	4360253;size=2	4360253;size=2	89.2	78.3	88.3	75.8	88.3	12	10	3	28	2	11	0.8	N
223254;size=1	0.0558	226487;size=10	220373;size=11	220373;size=11	98.0	91.8	97.6	92.7	97.6	1	0	3	16	1	1	0.4	N
223449;size=1	2.9713	777197;size=3	812105;size=21	812105;size=21	99.6	87.1	93.6	81.1	93.6	14	0	0	29	0	1	6.0	Y
223451;size=1	0.2932	136641;size=4	2216508;size=27	136641;size=4	97.6	94.3	91.1	87.9	94.3	17	1	0	10	2	3	3.2	Y
223465;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
223616;size=1	0.0229	151959;size=80	210306;size=4	210306;size=4	96.6	93.6	96.2	94.5	96.2	1	0	1	9	2	5	0.4	N
223618;size=1	0.0646	4317133;size=4	1554825;size=2	1554825;size=2	90.3	85.6	88.6	87.3	88.6	4	0	4	16	5	14	1.7	N
223743;size=1	0.0857	206764;size=4	973283;size=14	973283;size=14	92.4	89.0	89.5	87.3	89.5	13	6	4	8	0	8	3.0	N
223752;size=1	0.3451	113276;size=3	2618782;size=2	2618782;size=2	97.4	89.3	95.3	87.6	95.3	7	2	2	19	0	2	2.1	Y
223864;size=1	0.0858	4308710;size=73	4319209;size=4	4319209;size=4	94.8	84.5	94.4	89.3	94.4	1	0	2	24	0	10	0.4	N
223977;size=1	0.0775	2645712;size=143	258178;size=2	2645712;size=143	85.5	82.6	80.9	75.5	82.6	12	1	4	24	17	13	2.9	N
2242126;size=1	0.0254	238543;size=2	4391730;size=4	4391730;size=4	89.8	87.7	88.9	90.6	88.9	2	0	0	8	3	21	0.9	N
224230;size=1	0.088	206149;size=2	152581;size=2	206149;size=2	98.4	98.0	93.6	93.6	98.0	12	0	3	2	1	0	0.4	N
224421;size=1	0.0532	949733;size=2	692922;size=9	692922;size=9	94.0	88.5	92.8	85.5	92.8	5	2	4	18	5	3	1.3	N
224515;size=1	0.114	240236;size=4	215700;size=9	215700;size=9	98.8	95.9	97.2	93.9	97.2	4	0	0	9	2	1	1.6	N
2245713;size=1	0.0316	771025;size=4	1978301;size=6	1978301;size=6	93.1	89.9	92.7	87.4	92.7	8	7	2	11	3	5	0.4	N
224647;size=1	1.8263	994374;size=6	113469;size=2	113469;size=2	99.2	88.2	95.1	85.0	95.1	10	0	2	27	0	0	4.1	Y
224740;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
224834;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2248452;size=1	0.4531	148147;size=4	4320436;size=4	4320436;size=4	95.4	87.8	90.3	84.8	90.3	15	3	4	18	0	4	5.1	Y
225129;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
225187;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
225379;size=1	0.6714	949733;size=2	253733;size=2	949733;size=2	94.7	86.2	84.2	75.7	86.2	30	4	8	22	1	0	8.5	Y
225484;size=1	0.0972	1603735;size=2	3384225;size=10	1603735;size=2	87.9	84.1	81.6	80.3	84.1	21	6	17	11	2	4	3.8	N
225485;size=1	0.0305	240845;size=2	356027;size=2	240845;size=2	91.7	90.8	88.3	91.2	90.8	11	3	11	4	2	4	0.8	N
225493;size=1	0.0601	655207;size=3	273690;size=2	273690;size=2	93.7	91.1	92.0	87.8	92.0	4	0	0	15	9	6	1.7	N
225546;size=1	0.9199	753042;size=4	579647;size=36	753042;size=4	94.0	88.1	80.9	76.6	88.1	34	3	11	14	0	0	6.0	Y
2256377;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
225647;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
225825;size=1	0.0572	873968;size=4	510347;size=6	873968;size=4	95.5	94.2	92.6	93.8	94.2	8	1	3	4	1	6	1.2	N
2258410;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
226062;size=1	0.0597	4457838;size=7	836475;size=2	836475;size=2	87.8	82.2	86.1	83.9	86.1	5	1	0	20	7	20	1.7	N
226281;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
226283;size=1	1.2285	1077933;size=3	354751;size=5	1077933;size=3	97.5	90.5	89.3	83.1	90.5	20	0	2	18	1	3	7.0	Y
226313;size=1	1.0908	142472;size=2	219743;size=15	142472;size=2	98.0	93.1	81.3	75.2	93.1	45	4	1	12	0	0	4.9	Y
226369;size=1	0.1913	956789;size=11	218936;size=19	218936;size=19	100.0	96.8	98.8	95.5	98.8	3	0	0	8	0	0	1.2	N
226820;size=1	0.1326	817091;size=2	750096;size=2	750096;size=2	99.1	95.3	97.9	94.0	97.9	3	0	0	10	1	1	1.3	N
227060;size=1	0.0479	564348;size=6	1554825;size=2	1554825;size=2	90.0	85.5	89.6	82.3	89.6	11	10	11	13	2	2	0.4	N
227169;size=1	0.0379	3538812;size=2	205609;size=2	3538812;size=2	85.9	85.5	82.2	82.2	85.5	11	2	4	14	13	15	0.4	N
227273;size=1	0.0503	1112338;size=4	728339;size=5	1112338;size=4	87.7	85.1	82.6	81.3	85.1	20	8	8	8	2	11	2.6	N
227361;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
227434;size=1	0.5972	564348;size=6	973283;size=14	564348;size=6	94.5	89.8	81.3	78.3	89.8	34	3	6	11	0	4	4.7	Y
227444;size=1	0.1269	1978301;size=6	4371080;size=7	1978301;size=6	96.6	94.9	90.6	89.7	94.9	16	2	4	5	1	1	1.7	N
22777;size=1	0.3064	556217;size=3	1019326;size=6	556217;size=3	97.1	93.4	91.7	88.4	93.4	15	2	0	9	0	5	3.7	Y
2287971;size=1	0.1286	78648;size=4	807707;size=82	807707;size=82	95.4	87.9	94.2	88.3	94.2	5	2	1	19	1	7	1.2	N
230476;size=1	0.0881	1137597;size=3	529786;size=2	529786;size=2	92.7	83.9	91.5	84.3	91.5	4	1	3	26	4	10	1.2	N
231447;size=1	0.1067	100737;size=2	2565173;size=2	2565173;size=2	89.2	81.4	87.9	89.2	87.9	3	0	0	20	2	23	1.3	N
2314578;size=1	1.7012	215700;size=9	558886;size=2	215700;size=9	98.4	94.4	81.0	77.0	94.4	44	1	2	10	0	1	4.0	Y
2344913;size=1	0.3531	4358275;size=9	99995;size=14	99995;size=14	93.0	77.2	90.4	74.6	90.4	6	0	0	41	5	11	2.6	Y
235299;size=1	0.0918	586974;size=4	214099;size=2	586974;size=4	92.2	91.8	66.8	68.0	91.8	67	5	14	1	0	0	0.4	N
2353101;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
235349;size=1	1.48	4438018;size=4	1500417;size=4	4438018;size=4	96.6	91.6	81.9	78.9	91.6	35	0	1	13	1	6	5.1	Y
235634;size=1	0.3176	366851;size=2	870792;size=5	366851;size=2	96.2	92.3	89.7	84.6	92.3	15	0	1	14	5	3	3.8	Y
235704;size=1	0.1007	4024825;size=3	1132244;size=2	4024825;size=3	93.2	92.3	78.3	79.1	92.3	40	5	9	2	0	2	0.9	N
235795;size=1	0.1816	4364519;size=3	4307557;size=3	4364519;size=3	90.3	88.6	78.0	82.2	88.6	30	1	3	5	1	18	1.7	N
235803;size=1	0.0903	247203;size=7	512156;size=14	247203;size=7	86.5	83.5	78.9	78.1	83.5	20	2	15	13	6	9	3.0	N
235848;size=1	0.0585	253533;size=4	218936;size=19	253533;size=4	99.6	98.7	97.9	97.5	98.7	4	0	1	2	0	0	0.8	N
235854;size=1	0.1425	1049397;size=6	4105145;size=4	4105145;size=4	93.8	86.8	91.8	84.4	91.8	5	0	0	24	7	8	2.1	N
235860;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
235866;size=1	0.0304	251073;size=3	822613;size=5	251073;size=3	80.6	79.7	75.1	75.9	79.7	18	5	18	13	11	12	0.8	N
235887;size=1	0.3876	4438018;size=4	249891;size=18	4438018;size=4	96.2	92.9	87.0	81.9	92.9	22	0	2	14	6	1	3.4	Y
235914;size=1	0.0468	2478837;size=4	3993340;size=2	3993340;size=2	94.7	89.5	93.9	87.0	93.9	2	0	0	21	8	5	0.8	N
235971;size=1	0.1046	211380;size=12	590091;size=2	590091;size=2	96.6	92.4	95.8	92.4	95.8	5	3	4	10	0	1	0.8	N
2361610;size=1	0.0163	241301;size=3	2216436;size=33	241301;size=3	93.9	93.4	91.8	97.5	93.4	5	0	14	1	0	1	0.4	N
236234;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
236382;size=1	0.125	1071670;size=5	4480006;size=7	1071670;size=5	86.6	84.0	77.1	76.6	84.0	23	1	11	13	7	12	2.6	N
236435;size=1	0.159	230131;size=2	1125991;size=5	230131;size=2	94.0	92.8	86.8	88.5	92.8	17	0	4	6	3	7	1.3	N
236676;size=1	0.0264	208771;size=6	3587033;size=4	3587033;size=4	96.6	95.4	95.8	97.5	95.8	2	0	2	3	0	6	0.8	N
236728;size=1	0.2226	4379917;size=4	4409533;size=206	4409533;size=206	96.2	90.7	93.2	89.0	93.2	8	1	7	14	1	0	3.0	N
237030;size=1	0.1181	3029735;size=2	537115;size=3	537115;size=3	91.9	85.4	88.3	83.4	88.3	11	2	7	21	5	6	3.6	N
237121;size=1	0.0356	100737;size=2	2565173;size=2	2565173;size=2	92.0	87.8	91.1	89.0	91.1	2	0	1	17	7	11	0.8	N
237139;size=1	0.0381	103478;size=5	4314522;size=6	4314522;size=6	93.9	86.1	93.5	88.7	93.5	1	0	1	21	3	10	0.4	N
237520;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
237523;size=1	0.0472	942926;size=3	813793;size=2	813793;size=2	90.9	88.4	88.8	91.7	88.8	7	2	11	7	1	8	2.1	N
237546;size=1	0.0672	1106528;size=17	154494;size=2	1106528;size=17	93.8	92.9	87.1	90.0	92.9	18	2	9	3	1	3	0.8	N
237963;size=1	0.0124	3608294;size=2	1021984;size=2	1021984;size=2	88.9	87.2	88.5	96.2	88.5	3	2	6	4	0	18	0.4	N
238183;size=1	0.1255	110756;size=2	338969;size=13	338969;size=13	96.8	94.0	94.4	91.5	94.4	6	0	1	10	3	4	2.4	N
238295;size=1	0.443	4470193;size=3	837464;size=2	4470193;size=3	89.6	84.2	77.9	75.0	84.2	33	5	17	13	0	3	5.4	Y
238364;size=1	0.0456	236255;size=185	4321059;size=4	4321059;size=4	90.4	86.3	89.2	89.6	89.2	3	0	3	16	6	15	1.2	N
238387;size=1	0.3583	509120;size=3	855511;size=25	855511;size=25	89.4	78.8	82.0	73.5	82.0	25	7	14	27	1	4	7.3	Y
238426;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
238442;size=1	0.1546	113345;size=2	4472967;size=5	4472967;size=5	92.0	87.0	89.5	90.3	89.5	6	0	4	13	1	14	2.5	N
238522;size=1	0.0309	3382083;size=2	102361;size=2	102361;size=2	88.0	83.3	87.1	92.7	87.1	2	0	7	13	2	19	0.9	N
238583;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
238873;size=1	0.083	706774;size=3	4350805;size=3	706774;size=3	97.5	96.3	93.4	90.5	96.3	14	4	2	3	0	0	1.2	N
238968;size=1	0.0359	152024;size=2	4416965;size=8	4416965;size=8	93.6	90.2	93.2	93.6	93.2	3	2	12	9	1	0	0.4	N
239073;size=1	0.4225	512397;size=4	808063;size=2	808063;size=2	89.7	77.7	86.0	76.9	86.0	16	7	16	29	0	2	3.7	Y
239409;size=1	0.0863	219943;size=7	240388;size=2	219943;size=7	75.8	72.0	70.3	67.4	72.0	13	0	11	27	18	28	3.8	N
2394321;size=1	0.0747	343365;size=2	1037355;size=2	1037355;size=2	97.0	92.4	95.8	89.0	95.8	7	4	0	13	2	1	1.3	N
239490;size=1	0.0198	958654;size=2	215528;size=2	958654;size=2	89.4	89.0	85.2	86.9	89.0	18	8	15	2	1	1	0.4	N
239492;size=1	0.0742	509120;size=3	712751;size=3	712751;size=3	93.5	89.5	90.7	86.6	90.7	9	2	7	15	5	2	2.8	N
239520;size=1	0.0914	1109432;size=2	216644;size=22	1109432;size=2	89.9	87.8	84.0	80.6	87.8	15	1	6	14	9	8	2.1	N
239537;size=1	0.0286	831809;size=5	927796;size=4	831809;size=5	95.1	94.2	93.4	97.5	94.2	4	0	10	2	0	2	0.8	N
239749;size=1	0.0751	260157;size=2	645159;size=2	645159;size=2	95.3	86.3	94.4	84.6	94.4	2	0	0	27	6	5	0.9	N
239861;size=1	0.0789	4397272;size=5	257620;size=5	257620;size=5	98.8	96.7	97.6	95.9	97.6	4	1	0	5	0	2	1.2	N
240016;size=1	0.1154	4308710;size=73	768761;size=14	4308710;size=73	90.3	89.0	75.9	75.9	89.0	37	3	13	8	5	2	1.3	N
240064;size=1	0.1781	338555;size=4	253724;size=2	338555;size=4	94.3	91.9	85.8	84.2	91.9	23	2	3	8	2	7	2.4	N
240160;size=1	0.058	285767;size=3	593863;size=27	285767;size=3	83.2	81.9	76.7	78.9	81.9	23	8	31	3	0	0	1.3	N
2404304;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
240430;size=1	0.0487	152949;size=6	684207;size=3	152949;size=6	89.6	88.0	85.9	86.3	88.0	15	6	17	5	1	1	1.7	N
240448;size=1	0.0683	583039;size=4	710555;size=49	583039;size=4	97.4	97.0	85.3	84.9	97.0	31	3	2	1	0	1	0.4	N
240466;size=1	0.0373	4342295;size=3	4457838;size=7	4342295;size=3	85.6	83.9	83.9	90.7	83.9	4	0	1	9	5	28	1.7	N
240561;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
240650;size=1	0.0375	819540;size=3	547608;size=22	547608;size=22	98.4	96.7	97.5	96.7	97.5	2	0	2	5	1	1	0.8	N
240752;size=1	0.0988	254852;size=18	814208;size=3	814208;size=3	96.2	90.6	94.4	88.9	94.4	5	1	2	16	3	3	1.7	N
240772;size=1	0.0402	240339;size=2	243546;size=2	240339;size=2	95.8	94.5	93.2	90.7	94.5	11	5	3	4	1	1	1.3	N
240877;size=1	0.6728	556217;size=3	812105;size=21	556217;size=3	97.5	93.6	91.1	88.6	93.6	15	0	2	9	0	4	3.8	Y
2409043;size=1	0.0292	1112700;size=4	218456;size=5	1112700;size=4	88.0	87.2	85.0	88.9	87.2	11	4	24	2	0	0	0.9	N
241095;size=1	0.0629	1037039;size=4	1532107;size=2	1532107;size=2	84.2	72.2	83.0	70.5	83.0	3	0	2	46	17	19	1.2	N
241197;size=1	0.1102	112169;size=5	219743;size=15	219743;size=15	89.1	71.4	87.9	72.6	87.9	4	1	0	53	9	17	1.2	N
241544;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2415495;size=1	0.0661	868710;size=17	665808;size=2	665808;size=2	84.4	78.9	81.9	79.3	81.9	7	1	3	21	8	25	2.5	N
241653;size=1	0.1436	4357728;size=5	4408088;size=26	4408088;size=26	88.5	82.5	85.0	77.8	85.0	8	0	1	25	11	15	3.4	N
241721;size=1	0.0231	575740;size=5	220395;size=8	575740;size=5	98.0	97.6	96.0	96.4	97.6	6	1	4	1	0	0	0.4	N
241769;size=1	0.0231	3268311;size=2	1104742;size=2	1104742;size=2	96.6	92.8	96.2	91.1	96.2	1	0	0	14	5	3	0.4	N
241975;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2421044;size=1	0.0845	763448;size=2	942051;size=4	942051;size=4	98.3	89.9	97.9	90.3	97.9	1	0	0	21	1	3	0.4	N
242114;size=1	0.0272	771025;size=4	1690158;size=2	1690158;size=2	86.7	82.5	85.8	80.0	85.8	11	9	7	17	7	9	0.8	N
242556;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2428965;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
242980;size=1	2.489	225351;size=15	844118;size=19	844118;size=19	98.3	83.6	89.1	74.4	89.1	22	0	0	37	2	2	9.2	Y
243088;size=1	0.0641	809886;size=7	226653;size=3	809886;size=7	84.1	83.3	81.2	80.0	83.3	7	0	1	18	16	22	0.8	N
243113;size=1	0.031	1138310;size=2	316746;size=3	1138310;size=2	82.6	81.4	76.7	75.4	81.4	26	12	21	4	1	7	1.3	N
2431978;size=1	0.0255	306448;size=2	2158720;size=3	306448;size=2	87.3	86.9	82.4	84.5	86.9	17	5	14	5	4	8	0.4	N
243578;size=1	0.0535	579698;size=3	1143296;size=2	1143296;size=2	78.5	73.2	76.8	72.4	76.8	4	0	1	32	19	33	1.6	N
243653;size=1	0.0306	220381;size=28	239671;size=2	239671;size=2	81.9	78.6	79.0	79.4	79.0	17	10	7	14	6	20	2.9	N
243711;size=1	1.0078	4005494;size=2	306448;size=2	4005494;size=2	99.1	97.0	86.1	84.3	97.0	30	0	1	5	0	1	2.2	Y
243792;size=1	0.0972	191331;size=2	249749;size=10	249749;size=10	97.1	91.8	96.7	91.8	96.7	4	3	0	13	0	4	0.4	N
243968;size=1	0.7771	675153;size=4	365796;size=5	675153;size=4	96.8	95.2	75.0	74.6	95.2	54	0	6	5	1	1	1.6	Y
244000;size=1	0.2654	247538;size=9	219743;size=15	219743;size=15	95.5	90.2	91.9	86.6	91.9	14	5	5	13	0	1	3.7	N
244080;size=1	0.0569	245454;size=2	4391730;size=4	245454;size=2	93.4	90.9	90.1	86.8	90.9	11	3	2	11	5	6	2.5	N
244202;size=1	0.0489	329628;size=91	4303009;size=3	4303009;size=3	98.3	95.7	97.4	94.8	97.4	2	0	0	8	2	2	0.9	N
244361;size=1	0.0695	3504679;size=8	101310;size=2	3504679;size=8	94.9	92.0	91.6	86.9	92.0	12	4	2	10	3	3	3.0	N
244404;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2445356;size=1	0.0423	1591464;size=3	4421717;size=3	4421717;size=3	85.8	84.1	84.5	85.0	84.5	16	13	20	4	0	0	1.3	N
244582;size=1	0.0775	245925;size=7	215528;size=2	245925;size=7	92.5	90.9	88.0	85.1	90.9	20	9	9	4	0	0	1.7	N
245124;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
245490;size=1	0.0884	220101;size=174	222618;size=2	220101;size=174	99.2	98.0	97.2	96.0	98.0	5	0	0	4	1	1	1.2	N
245882;size=1	0.2306	1105513;size=4	4298217;size=2	1105513;size=4	95.0	92.5	88.7	90.0	92.5	16	1	5	6	0	6	2.5	N
245895;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
246082;size=1	0.4715	247114;size=2	1671566;size=2	247114;size=2	94.6	90.1	80.6	76.9	90.1	36	2	8	13	2	1	4.5	Y
246196;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
246371;size=1	0.0191	196412;size=3	4379915;size=181	196412;size=3	79.7	79.3	69.5	64.2	79.3	49	24	26	1	0	0	0.4	N
246683;size=1	0.7427	1037355;size=2	329628;size=91	1037355;size=2	95.1	91.9	79.4	78.1	91.9	41	2	9	8	0	1	3.2	Y
2469997;size=1	0.3227	681669;size=2	152024;size=2	152024;size=2	91.9	84.7	86.4	79.6	86.4	13	0	2	23	6	11	5.5	Y
247441;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
247483;size=1	0.0389	2834455;size=266	842292;size=3	842292;size=3	93.0	87.3	92.6	90.8	92.6	2	1	0	15	2	13	0.4	N
2475603;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
247642;size=1	0.1835	1111086;size=3	260157;size=2	1111086;size=3	94.3	92.2	84.8	86.1	92.2	25	2	4	6	1	7	2.0	N
247730;size=1	0.0121	248002;size=2	254514;size=18	254514;size=18	91.2	90.0	90.8	92.4	90.8	3	2	3	6	3	14	0.4	N
247854;size=1	0.0713	777142;size=16	701722;size=2	701722;size=2	92.7	85.5	91.5	81.2	91.5	3	0	0	28	11	6	1.3	N
248446;size=1	0.1561	805706;size=4	4390506;size=7	805706;size=4	91.2	88.7	82.8	84.1	88.7	25	5	12	6	0	4	2.5	N
248553;size=1	0.0747	1742482;size=2	807622;size=9	1742482;size=2	85.6	83.1	83.1	79.7	83.1	19	13	21	6	0	0	2.5	N
2486668;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
248757;size=1	0.1722	246356;size=4	217325;size=4	246356;size=4	93.3	90.0	87.4	86.6	90.0	15	1	2	11	3	10	3.3	N
248771;size=1	0.2248	773596;size=2	4433511;size=4	773596;size=2	92.1	91.2	74.5	73.6	91.2	43	1	4	9	7	7	0.8	N
248808;size=1	0.1081	218456;size=5	658707;size=2	658707;size=2	93.6	89.3	91.4	84.1	91.4	14	9	2	10	0	4	2.1	N
248953;size=1	0.2972	805810;size=4	4360253;size=2	4360253;size=2	95.9	84.1	94.3	83.7	94.3	4	0	1	31	2	7	1.6	Y
249128;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
249257;size=1	0.9138	156895;size=26	4298720;size=12	156895;size=26	94.2	87.9	77.9	72.1	87.9	44	5	8	15	0	1	6.2	Y
249280;size=1	0.0471	4308710;size=73	113798;size=2	113798;size=2	97.1	90.9	96.7	90.9	96.7	1	0	0	17	2	5	0.4	N
249290;size=1	0.1096	585529;size=2	4313776;size=10	4313776;size=10	97.1	91.8	95.5	89.4	95.5	6	2	3	15	2	0	1.6	N
249435;size=1	0.0684	136158;size=2	1130910;size=5	136158;size=2	94.0	91.5	91.0	86.8	91.5	8	1	3	12	6	4	2.6	N
2494382;size=1	0.0316	4474039;size=38	949733;size=2	4474039;size=38	81.6	79.2	79.2	75.5	79.2	8	2	8	22	16	19	2.4	N
249470;size=1	0.1169	580203;size=3	257132;size=8	580203;size=3	92.6	90.1	88.9	89.7	90.1	9	0	3	10	4	11	2.5	N
249855;size=1	0.488	4415303;size=2	236255;size=185	236255;size=185	97.6	78.4	96.7	79.6	96.7	2	0	6	47	0	0	0.8	Y
249932;size=1	0.02	556931;size=26	294946;size=4	294946;size=4	94.7	92.3	94.3	96.3	94.3	1	0	0	7	1	12	0.4	N
250075;size=1	0.1829	205999;size=4	101876;size=3	205999;size=4	95.7	94.9	87.2	86.3	94.9	20	0	3	6	4	3	0.9	N
250442;size=1	0.0646	211112;size=2	520338;size=8	211112;size=2	86.1	82.4	81.5	83.2	82.4	16	5	16	12	3	9	3.8	N
250445;size=1	0.1032	551517;size=2	957100;size=3	957100;size=3	95.3	84.7	94.5	84.7	94.5	2	0	0	29	4	7	0.8	N
250533;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
250547;size=1	0.1564	4253639;size=2	1967614;size=3	1967614;size=3	95.9	91.1	93.1	88.2	93.1	10	3	4	13	1	2	2.8	N
250620;size=1	0.0257	245925;size=7	212306;size=9	245925;size=7	93.0	92.2	90.9	93.0	92.2	6	1	11	3	1	4	0.8	N
250967;size=1	0.0425	1106823;size=5	801050;size=3	1106823;size=5	90.7	89.5	87.9	89.9	89.5	13	6	16	3	0	1	1.2	N
251184;size=1	0.0422	1086621;size=3	1125991;size=5	1086621;size=3	95.8	95.4	92.1	92.5	95.4	10	1	6	3	2	1	0.4	N
251291;size=1	0.0634	205038;size=4	257620;size=5	257620;size=5	97.9	87.3	97.5	86.5	97.5	1	0	1	28	3	1	0.4	N
251319;size=1	0.2855	178053;size=3	940737;size=5	940737;size=5	97.5	93.0	95.5	93.0	95.5	5	0	6	11	0	0	2.1	Y
251499;size=1	0.047	1109016;size=31	590091;size=2	590091;size=2	96.2	93.7	94.9	92.0	94.9	3	0	2	11	5	2	1.3	N
251518;size=1	0.1287	1105231;size=2	4441020;size=2	1105231;size=2	87.9	85.8	80.2	80.2	85.8	26	7	23	5	0	0	2.0	N
251745;size=1	0.6607	829974;size=5	201227;size=2	829974;size=5	96.3	88.4	87.6	78.1	88.4	21	0	2	25	6	1	7.9	Y
251955;size=1	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
252176;size=1	0.0758	113345;size=2	524058;size=2	524058;size=2	98.7	95.3	97.9	94.4	97.9	2	0	0	9	1	2	0.9	N
252244;size=1	0.0954	220997;size=40	207151;size=2	207151;size=2	88.1	79.0	87.7	77.8	87.7	13	12	8	23	1	8	0.4	N
252249;size=1	0.3283	4334908;size=9	1104766;size=2	4334908;size=9	94.6	88.8	84.7	79.3	88.8	26	2	3	18	4	4	5.8	Y
2524284;size=1	0.0301	159384;size=6	4105145;size=4	4105145;size=4	86.1	83.7	84.9	83.7	84.9	3	0	3	16	10	21	1.2	N
2524288;size=1	0.0946	142472;size=2	771025;size=4	142472;size=2	97.2	95.5	94.3	93.5	95.5	9	2	4	4	0	1	1.6	N
252776;size=1	0.0229	3689880;size=3	256656;size=36	256656;size=36	94.7	90.2	94.3	89.8	94.3	1	0	0	17	6	7	0.4	N
252860;size=1	0.5818	130368;size=2	4320436;size=4	130368;size=2	95.8	90.8	87.9	84.1	90.8	19	0	3	14	2	5	5.0	Y
